experiment_idx,label,layer_start,layer_end,layer_count,target_sparsity,mean_sparsity,generation_prefill_speedup,generation_decode_speedup,generation_dense_prefill_time_s,generation_sparse_prefill_time_s,generation_dense_decode_tokens_per_second,generation_sparse_decode_tokens_per_second,perplexity_dense,perplexity_sparse,ppl_ratio,baseline_over_ppl,ppl_delta,perplexity_eval_speedup,perplexity_dense_tokens_per_second,perplexity_sparse_tokens_per_second,avg_keep_ratio,avg_sparsity,generation_backend_actual,perplexity_backend_actual,raw_metrics_path
0,exp_00_layers_0_5_s0p5,0,5,6,0.5,0.08333333333333333,1.8694771448433114,1.2756755495791152,0.437518207996618,0.23403239199978998,105.39101269836597,134.4447380446875,9.472842401730613,9.904301654807206,1.0455469683521568,0.9564371857689555,0.43145925307659283,1.5585557787390871,4599.408014020529,7168.433939030563,0.0,0.0,triton_universal,triton_universal,sparse_llm/qwen3/experiment/outputs/metrics/qwen3_layer_block_sparsity_3_runs/exp_00_layers_0_5_s0p5.json
1,exp_01_layers_6_11_s0p5,6,11,6,0.5,0.08333333333333333,1.879082423340474,1.2499660597474376,0.437518207996618,0.2328360920000705,105.39101269836597,131.73518887536866,9.472842401730613,9.920722198869326,1.0472804020319064,0.9548541136259457,0.44787979713871273,1.5566656023346728,4599.408014020529,7159.7402465281875,0.0,0.0,triton_universal,triton_universal,sparse_llm/qwen3/experiment/outputs/metrics/qwen3_layer_block_sparsity_3_runs/exp_01_layers_6_11_s0p5.json
2,exp_02_layers_12_17_s0p5,12,17,6,0.5,0.08333333333333333,1.8784663124889727,1.2198524562216104,0.437518207996618,0.2329124590032734,105.39101269836597,128.56148570378465,9.472842401730613,9.970579864969867,1.0525436233530414,0.9500793865572473,0.49773746323925394,1.5684405639549763,4599.408014020529,7213.898099369396,0.0,0.0,triton_universal,triton_universal,sparse_llm/qwen3/experiment/outputs/metrics/qwen3_layer_block_sparsity_3_runs/exp_02_layers_12_17_s0p5.json
3,exp_03_layers_18_23_s0p5,18,23,6,0.5,0.08333333333333333,1.7449646573429696,1.2737261122004828,0.437518207996618,0.25073184500070056,105.39101269836597,134.2392848651614,9.472842401730613,10.212519247684174,1.0780839387572232,0.9275715591800434,0.7396768459535608,1.5498875585827774,4599.408014020529,7128.5652577763385,0.0,0.0,triton_universal,triton_universal,sparse_llm/qwen3/experiment/outputs/metrics/qwen3_layer_block_sparsity_3_runs/exp_03_layers_18_23_s0p5.json
4,exp_04_layers_24_29_s0p5,24,29,6,0.5,0.08333333333333333,1.8561676711548465,1.2525911163960415,0.437518207996618,0.23571049900056096,105.39101269836597,132.0118462539556,9.472842401730613,10.119699454790563,1.0682854232792656,0.9360794205450702,0.64685705305995,1.5571300164421868,4599.408014020529,7161.876276496112,0.0,0.0,triton_universal,triton_universal,sparse_llm/qwen3/experiment/outputs/metrics/qwen3_layer_block_sparsity_3_runs/exp_04_layers_24_29_s0p5.json
5,exp_05_layers_30_35_s0p5,30,35,6,0.5,0.08333333333333333,1.8185015693830786,1.3139184236166208,0.437518207996618,0.24059270300494973,105.39101269836597,138.47519326799627,9.472842401730613,10.380680591614333,1.095835880233568,0.9125454076087184,0.9078381898837193,1.5375940361861091,4599.408014020529,7072.022332344561,0.0,0.0,triton_universal,triton_universal,sparse_llm/qwen3/experiment/outputs/metrics/qwen3_layer_block_sparsity_3_runs/exp_05_layers_30_35_s0p5.json
