experiment_idx,label,layer_start,layer_end,layer_count,target_sparsity,mean_sparsity,generation_prefill_speedup,generation_decode_speedup,generation_dense_prefill_time_s,generation_sparse_prefill_time_s,generation_dense_decode_tokens_per_second,generation_sparse_decode_tokens_per_second,perplexity_dense,perplexity_sparse,ppl_ratio,baseline_over_ppl,ppl_delta,perplexity_eval_speedup,perplexity_dense_tokens_per_second,perplexity_sparse_tokens_per_second,avg_keep_ratio,avg_sparsity,generation_backend_actual,perplexity_backend_actual,raw_metrics_path
0,exp_00_layers_0_5_s0p2,0,5,6,0.2,0.033333333333333326,1.8721438118589988,1.3538771308680186,0.43647745499765733,0.233143122997717,107.43311785750072,145.45124136511876,9.472842401730613,9.873063112154448,1.042249273602474,0.9594633695867766,0.40022071042383445,1.5781894215928784,4640.207687771654,7323.126686835174,0.0,0.0,triton_universal,triton_universal,sparse_llm/qwen3/experiment/outputs/metrics/qwen3_layer_block_sparsity_4_runs/exp_00_layers_0_5_s0p2.json
1,exp_01_layers_6_11_s0p2,6,11,6,0.2,0.033333333333333326,1.8700270296078205,1.3547429221031948,0.43647745499765733,0.23340702999848872,107.43311785750072,145.54425601692745,9.472842401730613,9.877508817079194,1.0427185841574491,0.9590315308401576,0.40466641534858105,1.5762091100210014,4640.207687771654,7313.937629855167,0.0,0.0,triton_universal,triton_universal,sparse_llm/qwen3/experiment/outputs/metrics/qwen3_layer_block_sparsity_4_runs/exp_01_layers_6_11_s0p2.json
2,exp_02_layers_12_17_s0p2,12,17,6,0.2,0.033333333333333326,1.8716216609666096,1.3549774521604698,0.43647745499765733,0.23320816599880345,107.43311785750072,145.5694523122118,9.472842401730613,9.881386458584421,1.043127927134011,0.9586551888678652,0.4085440568538079,1.5747134745834568,4640.207687771654,7306.997570799768,0.0,0.0,triton_universal,triton_universal,sparse_llm/qwen3/experiment/outputs/metrics/qwen3_layer_block_sparsity_4_runs/exp_02_layers_12_17_s0p2.json
3,exp_03_layers_18_23_s0p2,18,23,6,0.2,0.033333333333333326,1.8654057180547192,1.3139120537556621,0.43647745499765733,0.2339852669974789,107.43311785750072,141.15766852552287,9.472842401730613,9.974036554317887,1.0529085285421522,0.9497501187349969,0.5011941525872743,1.5738525727875678,4640.207687771654,7303.002807668068,0.0,0.0,triton_universal,triton_universal,sparse_llm/qwen3/experiment/outputs/metrics/qwen3_layer_block_sparsity_4_runs/exp_03_layers_18_23_s0p2.json
4,exp_04_layers_24_29_s0p2,24,29,6,0.2,0.033333333333333326,1.8682995209496898,1.3527643035042412,0.43647745499765733,0.2336228479980491,107.43311785750072,145.331686851791,9.472842401730613,9.9367307284107,1.0489703414252238,0.9533157997978394,0.4638883266800864,1.574007937631703,4640.207687771654,7303.723732812234,0.0,0.0,triton_universal,triton_universal,sparse_llm/qwen3/experiment/outputs/metrics/qwen3_layer_block_sparsity_4_runs/exp_04_layers_24_29_s0p2.json
5,exp_05_layers_30_35_s0p2,30,35,6,0.2,0.033333333333333326,1.8721875283253815,1.352793633483591,0.43647745499765733,0.23313767899526283,107.43311785750072,145.33483786291927,9.472842401730613,10.01372095817399,1.0570978100875574,0.9459862563873553,0.540878556443376,1.5839635763797029,4640.207687771654,7349.91996426738,0.0,0.0,triton_universal,triton_universal,sparse_llm/qwen3/experiment/outputs/metrics/qwen3_layer_block_sparsity_4_runs/exp_05_layers_30_35_s0p2.json
