cfg_batch_size,cfg_num_heads,cfg_head_dim,cfg_seq_len,cfg_dtype,cfg_device,cfg_mode,cfg_pattern_type,cfg_backend,cfg_causal,cfg_topk,cfg_window_size,cfg_block_size,pattern_build_time_ms_mean,pattern_build_time_ms_p50,pattern_build_time_ms_p95,attention_time_ms_mean,attention_time_ms_p50,attention_time_ms_p95,total_time_ms_mean,total_time_ms_p50,total_time_ms_p95,peak_memory_mb,rel_err,cosine_sim,keep_ratio,sparsity_ratio,_status
1,8,64,128,fp16,cuda,decode,topk,masked_sdpa,True,64,,,0.005017599947750568,0.005119999870657921,0.006144000217318535,0.07392192024737597,0.06656000018119812,0.07587840296328068,0.07678752027451992,0.06860800087451935,0.09328640177845954,8.41015625,1.0122485160827637,0.004570671357214451,1.0,0.0,ok
1,8,64,128,fp16,cuda,decode,topk,masked_sdpa,True,128,,,0.006502400059252978,0.006144000217318535,0.010239999741315842,0.06640256039798259,0.0655359998345375,0.07475200295448303,0.07691264040768146,0.06758400052785873,0.07685120329260826,8.41015625,0.9948663115501404,0.1058015301823616,1.0,0.0,ok
1,8,64,128,fp16,cuda,decode,local_window,masked_sdpa,True,,64,,0.005823360027279705,0.006111999973654747,0.009185600094497204,0.06807488046586513,0.06143999844789505,0.07403360232710837,0.0669785599410534,0.06451199948787689,0.07267200201749802,8.41064453125,0.0,1.000000238418579,0.0078125,0.9921875,ok
1,8,64,128,fp16,cuda,decode,local_window,masked_sdpa,True,,128,,0.006224640060681849,0.006144000217318535,0.010239999741315842,0.06392800029367209,0.06143999844789505,0.0748528029769659,0.06778880042955279,0.0655359998345375,0.0739328023046255,8.41064453125,0.0,1.0000001192092896,0.0078125,0.9921875,ok
1,8,64,128,fp16,cuda,decode,local_window,masked_sdpa,True,,256,,0.006058560006786138,0.006111999973654747,0.010239999741315842,0.06272992013022304,0.06092800013720989,0.06860800087451935,0.06631807997822761,0.06451199948787689,0.07075840160250663,8.41064453125,0.0,1.0,0.0078125,0.9921875,ok
1,8,64,128,fp16,cuda,decode,bigbird,masked_sdpa,True,64,,,0.0053446399443782865,0.005119999870657921,0.008243199996650217,0.06288000017404556,0.060912000015378,0.06860800087451935,0.0677654404938221,0.06195199862122536,0.07070560157299041,8.41064453125,1.0025132894515991,0.04327022656798363,1.0,0.0,ok
1,8,64,128,fp16,cuda,decode,bigbird,masked_sdpa,True,128,,,0.005621119989082217,0.005119999870657921,0.009265600331127642,0.06975200034677982,0.06348799914121628,0.08709119968116283,0.06271743973717094,0.062463998794555664,0.06758400052785873,8.41064453125,1.0035731792449951,0.04013264179229736,1.0,0.0,ok
1,8,64,512,fp16,cuda,prefill,dense,dense_sdpa,True,,,,0.004849919979460537,0.004095999989658594,0.00816159974783659,0.018011840153485538,0.01740800030529499,0.023552000522613525,0.02014176018536091,0.018432000651955605,0.026623999699950218,12.6728515625,0.0,1.0,1.0,0.0,ok
1,8,64,512,fp16,cuda,prefill,topk,masked_sdpa,True,32,,,0.03229664010927081,0.03276799991726875,0.03481600061058998,0.1354127998650074,0.130048006772995,0.13916159495711322,0.16206655956804752,0.158720001578331,0.1649136036634445,23.625,0.7101417779922485,0.8862125873565674,0.12097953216374269,0.8790204678362573,ok
1,8,64,512,fp16,cuda,prefill,topk,masked_sdpa,True,64,,,0.0311500800261274,0.03174399957060814,0.035840000957250595,0.13832127906382083,0.1361759975552559,0.14340960383415222,0.16489471957087518,0.16383999586105347,0.17203199863433838,24.875,0.3913660943508148,0.9514873027801514,0.23416179337231968,0.7658382066276803,ok
1,8,64,512,fp16,cuda,prefill,topk,masked_sdpa,True,128,,,0.03174399957060814,0.03174399957060814,0.03276799991726875,0.1406105584651232,0.1372160017490387,0.15175680592656135,0.16568256013095378,0.16486400365829468,0.17310560643672943,27.375,0.17187882959842682,0.9878554940223694,0.4371345029239766,0.5628654970760234,ok
