batch_size,num_heads,head_dim,seq_len,dtype,device,mode,pattern_type,backend,causal,topk,window_size,block_size,timing_source,actual_backend,total_time_ms_mean,total_time_ms_p50,total_time_ms_p95,peak_memory_mb,rel_err,cosine_sim,kl_divergence,top1_match_rate,_status
10,8,256,128,fp16,cuda,decode,topk,masked_sdpa,True,128,,,proxy,MaskedSdpaBackend,0.6042607980966568,0.5990239977836609,0.646446394920349,29.05908203125,0.0,1.0,0.0,1.0,ok
10,8,256,128,fp16,cuda,decode,bigbird,masked_sdpa,True,64,,,proxy,MaskedSdpaBackend,0.6016192001104355,0.5930399894714355,0.6499311953783035,29.18505859375,0.0,1.0,0.0,1.0,ok
10,8,256,128,fp16,cuda,decode,bigbird,masked_sdpa,True,128,,,proxy,MaskedSdpaBackend,0.6231776016950608,0.6157279908657074,0.6789631843566895,29.18603515625,0.0,1.0,0.0,1.0,ok
10,8,256,128,fp16,cuda,decode,bigbird,triton_bigbird,True,64,,,real_cuda,triton_bigbird,0.49640959948301316,0.4838559925556183,0.5638288110494614,29.12255859375,0.0,1.0000001192092896,0.0,1.0,ok
10,8,256,128,fp16,cuda,decode,bigbird,triton_bigbird,True,128,,,real_cuda,triton_bigbird,0.5020044806599617,0.4946240037679672,0.567569625377655,29.12353515625,0.0,1.0,0.0,1.0,ok
10,8,256,512,fp16,cuda,prefill,dense,dense_sdpa,True,,,,real_cuda,DenseSdpaBackend,0.5754796797037125,0.5642240047454834,0.6507008045911788,272.9541015625,0.0,1.0000001192092896,0.0,1.0,ok
10,8,256,512,fp16,cuda,prefill,topk,masked_sdpa,True,64,,,proxy,MaskedSdpaBackend,2.633702402114868,2.60972797870636,2.7983680605888366,468.6396484375,0.03450948745012283,0.9994046092033386,3.364640333175191e-34,1.0,ok
10,8,256,512,fp16,cuda,prefill,topk,masked_sdpa,True,128,,,proxy,MaskedSdpaBackend,2.7846864008903505,2.7827199697494507,2.8182528018951416,508.6396484375,0.019925549626350403,0.999801516532898,0.0,1.0,ok
10,8,256,512,fp16,cuda,prefill,bigbird,masked_sdpa,True,64,,,proxy,MaskedSdpaBackend,1.2345296049118042,1.230847954750061,1.2628831624984742,435.0888671875,0.035463545471429825,0.9993711709976196,0.0,1.0,ok
10,8,256,512,fp16,cuda,prefill,bigbird,masked_sdpa,True,128,,,proxy,MaskedSdpaBackend,1.2446908807754518,1.2395520210266113,1.2832255959510803,435.0927734375,0.019698351621627808,0.9998060464859009,0.0,1.0,ok
10,8,256,512,fp16,cuda,prefill,bigbird,triton_bigbird,True,64,,,real_cuda,triton_bigbird,0.636924479007721,0.6309279799461365,0.6842160224914551,240.1279296875,0.020419267937541008,0.9997916221618652,9.171272391560555e-34,1.0,ok
10,8,256,512,fp16,cuda,prefill,bigbird,triton_bigbird,True,128,,,real_cuda,triton_bigbird,0.6289200007915496,0.6234079897403717,0.6690128147602081,240.1318359375,0.013518135994672775,0.9999086260795593,2.4596496612711004e-37,1.0,ok
10,8,256,512,fp16,cuda,decode,dense,dense_sdpa,True,,,,real_cuda,DenseSdpaBackend,0.41004799962043764,0.39982399344444275,0.4491024047136306,44.08642578125,0.0,1.0,0.0,1.0,ok
10,8,256,512,fp16,cuda,decode,topk,masked_sdpa,True,64,,,proxy,MaskedSdpaBackend,0.6044982421398163,0.594976007938385,0.6597632139921188,44.08837890625,0.0,1.0,0.0,1.0,ok
10,8,256,512,fp16,cuda,decode,topk,masked_sdpa,True,128,,,proxy,MaskedSdpaBackend,0.6107190406322479,0.6032640039920807,0.6462927728891372,44.08837890625,0.0,1.0,0.0,1.0,ok
10,8,256,512,fp16,cuda,decode,bigbird,masked_sdpa,True,64,,,proxy,MaskedSdpaBackend,0.5938540786504746,0.5868799984455109,0.6370880216360092,46.59521484375,0.0,1.0000001192092896,0.0,1.0,ok
10,8,256,512,fp16,cuda,decode,bigbird,masked_sdpa,True,128,,,proxy,MaskedSdpaBackend,0.5778828811645508,0.5714559853076935,0.6158463776111602,46.59912109375,0.0,1.0,0.0,1.0,ok
10,8,256,512,fp16,cuda,decode,bigbird,triton_bigbird,True,64,,,real_cuda,triton_bigbird,0.47893567830324174,0.4708320051431656,0.5245360046625137,46.53271484375,0.0,1.0,0.0,1.0,ok
10,8,256,512,fp16,cuda,decode,bigbird,triton_bigbird,True,128,,,real_cuda,triton_bigbird,0.45699840158224103,0.45558400452136993,0.4710752099752426,46.53662109375,0.0,1.0,0.0,1.0,ok
10,8,256,1024,fp16,cuda,prefill,dense,dense_sdpa,True,,,,real_cuda,DenseSdpaBackend,0.8808812779188157,0.8780800104141235,0.9033216208219528,528.3740234375,0.0,1.0,0.0,1.0,ok
10,8,256,1024,fp16,cuda,prefill,topk,masked_sdpa,True,64,,,proxy,MaskedSdpaBackend,9.891341142654419,9.867775917053223,9.968070459365844,1237.7470703125,0.042303770780563354,0.9991052150726318,2.143502996688644e-35,1.0,ok
10,8,256,1024,fp16,cuda,prefill,topk,masked_sdpa,True,128,,,proxy,MaskedSdpaBackend,10.081424026489257,10.073584079742432,10.155081987380981,1328.7080078125,0.02823338843882084,0.9996016025543213,2.918100208097431e-30,1.0,ok
10,8,256,1024,fp16,cuda,prefill,bigbird,masked_sdpa,True,64,,,proxy,MaskedSdpaBackend,5.395420789718628,5.388159990310669,5.455472087860107,1181.7236328125,0.039558492600917816,0.9992175698280334,0.0,1.0,ok
