cfg_batch_size,cfg_num_heads,cfg_head_dim,cfg_seq_len,cfg_dtype,cfg_device,cfg_mode,cfg_pattern_type,cfg_backend,cfg_causal,cfg_topk,cfg_window_size,cfg_block_size,timing_source,pattern_build_time_ms_mean,pattern_build_time_ms_p50,pattern_build_time_ms_p95,attention_time_ms_mean,attention_time_ms_p50,attention_time_ms_p95,total_time_ms_mean,total_time_ms_p50,total_time_ms_p95,peak_memory_mb,rel_err,cosine_sim,kl_divergence,top1_match_rate,keep_ratio,sparsity_ratio,_status
10,8,256,128,fp16,cuda,prefill,bigbird,triton_bigbird,True,64,,,real_cuda,0.4442204785346985,0.43719999492168427,0.5037904113531112,0.04877632033079862,0.048128001391887665,0.05022719837725162,0.4865721598267555,0.4862240105867386,0.5038592219352722,33.271484375,0.0001548488944536075,0.9999999403953552,9.50972664202566e-10,0.9996094107627869,0.7209302325581395,0.2790697674418605,ok
10,8,256,128,fp16,cuda,prefill,bigbird,triton_bigbird,True,128,,,real_cuda,0.4105443201959133,0.410288006067276,0.468172787129879,0.05966528035700321,0.058368001133203506,0.05982400085777044,0.46010432004928586,0.460656002163887,0.4707055866718292,33.2822265625,0.00015375860675703734,1.0,9.330157021466075e-10,0.999707043170929,1.0,0.0,ok
10,8,256,128,fp16,cuda,decode,dense,dense_sdpa,True,,,,real_cuda,0.004508479963988066,0.00431999983265996,0.005119999870657921,0.011990400133654475,0.012128000147640705,0.01228800043463707,0.01227360020391643,0.01228800043463707,0.012927999719977379,18.3203125,0.0,0.9999999403953552,0.0,1.0,1.0,0.0,ok
10,8,256,128,fp16,cuda,decode,topk,masked_sdpa,True,64,,,proxy,0.005582400001585484,0.005392000079154968,0.006156800198368727,0.07315039992332459,0.06625599786639214,0.09742079675197601,0.07265600062906742,0.0690079964697361,0.07372800260782242,18.345703125,1.0085221529006958,0.035466406494379044,0.5000041426517424,0.0,1.0,0.0,ok
10,8,256,128,fp16,cuda,decode,topk,masked_sdpa,True,128,,,proxy,0.0055673599988222125,0.005375999957323074,0.006144000217318535,0.07273503977805376,0.06548799946904182,0.07170080170035362,0.06888864047825337,0.06838399916887283,0.07252160087227821,18.39453125,0.9993909001350403,0.07455132901668549,0.49747285479747066,0.0,1.0,0.0,ok
10,8,256,128,fp16,cuda,decode,bigbird,masked_sdpa,True,64,,,proxy,0.441001601141179,0.4269440025091171,0.5267968147993087,0.06262271977961063,0.06244799867272377,0.06569600068032741,0.4905798399448395,0.4906399995088577,0.5005584120750427,18.29931640625,0.999573290348053,0.07278589904308319,0.4912968457282338,0.02500000037252903,0.7209302325581395,0.2790697674418605,ok
10,8,256,128,fp16,cuda,decode,bigbird,masked_sdpa,True,128,,,proxy,0.4097439989447594,0.4059999883174896,0.47332479655742643,0.06286303970962763,0.06143999844789505,0.06685279868543145,0.46722175866365434,0.4671039879322052,0.4768271878361702,18.29931640625,1.004507303237915,0.037922829389572144,0.49456646481131694,0.0,1.0,0.0,ok
10,8,256,128,fp16,cuda,decode,bigbird,triton_bigbird,True,64,,,real_cuda,0.4272905585169792,0.42470400035381317,0.4743584036827087,0.0294780801795423,0.02956799976527691,0.03065920053049922,0.4606127998232841,0.4607999920845032,0.47325600534677503,18.24560546875,1.002306342124939,0.06001119688153267,0.49338017414986457,0.0,0.7209302325581395,0.2790697674418605,ok
10,8,256,128,fp16,cuda,decode,bigbird,triton_bigbird,True,128,,,real_cuda,0.4055104000866413,0.40142399072647095,0.46663679778575895,0.032346879914402965,0.03235200047492981,0.0336063988506794,0.43432735979557036,0.4341440051794052,0.4444191873073578,18.2470703125,1.000439167022705,0.06723352521657944,0.4909015293662429,0.0,1.0,0.0,ok
10,8,256,512,fp16,cuda,prefill,dense,dense_sdpa,True,,,,real_cuda,0.004322559963911772,0.004095999989658594,0.004998399829491972,0.12147200152277947,0.12083200365304947,0.12697599828243256,0.12108512178063392,0.12083200365304947,0.12213119752705097,108.2822265625,0.0,0.9999999403953552,0.0,1.0,1.0,0.0,ok
