cfg_batch_size,cfg_num_heads,cfg_head_dim,cfg_seq_len,cfg_dtype,cfg_device,cfg_mode,cfg_pattern_type,cfg_backend,cfg_causal,cfg_topk,cfg_keep_ratio,cfg_window_size,cfg_block_size,timing_source,actual_backend,pattern_build_time_ms_mean,pattern_build_time_ms_p50,pattern_build_time_ms_p95,attention_time_ms_mean,attention_time_ms_p50,attention_time_ms_p95,total_time_ms_mean,total_time_ms_p50,total_time_ms_p95,peak_memory_mb,rel_err,cosine_sim,kl_divergence,keep_ratio,sparsity_ratio,_status
1,8,64,64,bf16,cuda,prefill,dense,dense_sdpa,True,,,,,real_cuda,DenseSdpaBackend,0.004183039991185069,0.004095999989658594,0.005924799991771576,0.013384319972246886,0.013311999849975109,0.014243199909105896,0.01388223996385932,0.014015999622642994,0.014336000196635723,0.3154296875,0.0,1.0,0.0,1.0,0.0,ok
1,8,64,64,bf16,cuda,prefill,bigbird_keep_ratio,triton_bigbird,True,,0.25,,,real_cuda,triton_bigbird,0.006013440052047372,0.006000000052154064,0.006943999789655209,0.09566464096307754,0.0942080020904541,0.10405919849872589,0.0667206396907568,0.03993599861860275,0.10651359893381596,0.34521484375,0.1786849945783615,0.9843970537185669,0.0019948211872005683,0.2326923076923077,0.7673076923076922,ok
1,8,64,64,bf16,cuda,prefill,bigbird_keep_ratio,triton_bigbird,True,,0.5,,,real_cuda,triton_bigbird,0.005951360082253814,0.006079999962821603,0.007200000109151004,0.036245119944214824,0.03376000002026558,0.04268800057470798,0.049203839749097825,0.03788800165057182,0.11995519660413229,0.345703125,0.0008564914460293949,0.9999996423721313,4.487033187534692e-08,0.49230769230769234,0.5076923076923077,ok
1,8,64,64,bf16,cuda,prefill,bigbird,triton_universal,True,64,,,,real_cuda,triton_universal,0.0057337600365281105,0.005807999987155199,0.006144000217318535,0.031539200022816655,0.03096000012010336,0.03481600061058998,0.03713599987328053,0.03471999987959862,0.036689599975943565,0.345703125,0.0008999010897241533,0.9999995231628418,5.065684008806938e-08,1.0,0.0,ok
1,8,64,64,bf16,cuda,prefill,bigbird,triton_universal,True,128,,,,real_cuda,triton_universal,0.010969600006937981,0.00598399993032217,0.006992000038735566,0.0310649599134922,0.03145600110292435,0.0333888005465269,0.037048960104584694,0.03457599878311157,0.03686400130391121,0.34619140625,0.0009354331996291876,0.9999995827674866,5.270318587849387e-08,1.0,0.0,ok
1,8,64,64,bf16,cuda,decode,dense,dense_sdpa,True,,,,,real_cuda,DenseSdpaBackend,0.004112640004605055,0.004095999989658594,0.004227199801243841,0.014190080016851426,0.010751999914646149,0.012499199993908404,0.016216959711164235,0.011264000087976456,0.011505600064992905,0.1279296875,0.0,0.9999998807907104,0.0,1.0,0.0,ok
1,8,64,64,bf16,cuda,decode,bigbird_keep_ratio,triton_bigbird,True,,0.25,,,real_cuda,triton_bigbird,0.005671040064189583,0.005872000008821487,0.006144000217318535,0.04176511961966753,0.03377600014209747,0.04058880042284726,0.036078720279037954,0.036639999598264694,0.03788800165057182,0.1298828125,0.9990337491035461,0.11971720308065414,0.46107477094465277,0.25,0.75,ok
1,8,64,64,bf16,cuda,decode,bigbird_keep_ratio,triton_bigbird,True,,0.5,,,real_cuda,triton_bigbird,0.0057952000666409735,0.005872000008821487,0.006196800107136368,0.044986879900097844,0.03379200026392937,0.11898879837244707,0.03989824026823044,0.03686400130391121,0.038897599838674066,0.1298828125,0.9807125926017761,0.19570420682430267,0.4168362757610718,0.53125,0.46875,ok
1,8,64,64,bf16,cuda,decode,bigbird,triton_universal,True,64,,,,real_cuda,triton_universal,0.005566079984419048,0.005775999976322055,0.006144000217318535,0.0323718399181962,0.032175999134778976,0.0343552004545927,0.046565120257437226,0.0339680016040802,0.17356799840927115,0.1298828125,1.0036475658416748,0.08747515827417374,0.42022674268270016,1.0,0.0,ok
1,8,64,64,bf16,cuda,decode,bigbird,triton_universal,True,128,,,,real_cuda,triton_universal,0.008480640146881342,0.005504000000655651,0.006144000217318535,0.03172095987945795,0.031647998839616776,0.033827200531959534,0.040352639965713026,0.034304000437259674,0.03686400130391121,0.1298828125,0.9968339800834656,0.11043357849121094,0.5304159923690495,1.0,0.0,ok
