batch_size,num_heads,head_dim,seq_len,dtype,device,mode,pattern_type,backend,causal,topk,window_size,block_size,timing_source,actual_backend,total_time_ms_mean,total_time_ms_p50,total_time_ms_p95,peak_memory_mb,rel_err,cosine_sim,kl_divergence,top1_match_rate,_status
10,8,256,64,fp16,cuda,prefill,dense,dense_sdpa,True,,,,real_cuda,DenseSdpaBackend,0.48182495951652526,0.4782399982213974,0.49932958781719206,54.681640625,0.0,1.0,0.0,1.0,ok
10,8,256,64,fp16,cuda,prefill,bigbird,masked_sdpa,True,64,,,proxy,MaskedSdpaBackend,0.6052582430839538,0.6021919846534729,0.6323904126882552,57.2119140625,0.00039355395711027086,0.9999998807907104,1.5195271662666516e-38,1.0,ok
10,8,256,64,fp16,cuda,prefill,bigbird,masked_sdpa,True,128,,,proxy,MaskedSdpaBackend,0.6167721617221832,0.6147680282592773,0.6423327893018722,57.21240234375,0.00038477417547255754,1.0,3.838593347555846e-41,1.0,ok
10,8,256,64,fp16,cuda,prefill,bigbird,triton_bigbird,True,64,,,real_cuda,triton_bigbird,0.5479808014631271,0.5456479787826538,0.5756415724754333,50.896484375,0.00030747108394280076,1.0,2.1720663349738234e-42,1.0,ok
10,8,256,64,fp16,cuda,prefill,bigbird,triton_bigbird,True,128,,,real_cuda,triton_bigbird,0.525317120552063,0.5210239887237549,0.5644527792930603,50.89697265625,0.00030207345844246447,0.9999999403953552,8.624550810529366e-42,1.0,ok
10,8,256,64,fp16,cuda,prefill,bigbird2,masked_sdpa,True,64,,,proxy,MaskedSdpaBackend,0.6175743991136551,0.6122240126132965,0.6472175806760788,57.2119140625,0.0003889073559548706,0.9999998807907104,3.1476818774618604e-41,1.0,ok
10,8,256,64,fp16,cuda,prefill,bigbird2,masked_sdpa,True,128,,,proxy,MaskedSdpaBackend,0.6414627188444137,0.6280960142612457,0.717399987578392,57.21240234375,0.00037986948154866695,0.9999999403953552,9.914863871764236e-42,1.0,ok
10,8,256,64,fp16,cuda,prefill,bigbird2,triton_bigbird,True,64,,,real_cuda,triton_bigbird,0.521247039437294,0.5160959959030151,0.5544640153646468,50.896484375,0.0003101893817074597,1.0,2.3087787625768256e-37,1.0,ok
10,8,256,64,fp16,cuda,prefill,bigbird2,triton_bigbird,True,128,,,real_cuda,triton_bigbird,0.543292160332203,0.5239199995994568,0.6708351850509643,50.89697265625,0.00030528759816661477,1.0,0.0,1.0,ok
10,8,256,64,fp16,cuda,decode,dense,dense_sdpa,True,,,,real_cuda,DenseSdpaBackend,0.35940063893795016,0.35654400289058685,0.38017278760671613,27.8671875,0.0,1.000000238418579,0.0,1.0,ok
10,8,256,64,fp16,cuda,decode,bigbird,masked_sdpa,True,64,,,proxy,MaskedSdpaBackend,0.5202614396810532,0.5172320008277893,0.5408416032791138,27.90087890625,0.30972468852996826,0.952275276184082,2.536022647486829e-33,1.0,ok
10,8,256,64,fp16,cuda,decode,bigbird,masked_sdpa,True,128,,,proxy,MaskedSdpaBackend,0.5210886412858963,0.5171200037002563,0.5419919997453689,27.9013671875,0.2954334318637848,0.9562958478927612,1.622858156927295e-39,1.0,ok
10,8,256,64,fp16,cuda,decode,bigbird,triton_bigbird,True,64,,,real_cuda,triton_bigbird,0.4465289601683617,0.4403039962053299,0.4825375944375992,27.90087890625,0.30482611060142517,0.9536038041114807,1.7742726713067045e-45,1.0,ok
10,8,256,64,fp16,cuda,decode,bigbird,triton_bigbird,True,128,,,real_cuda,triton_bigbird,0.4425110405683517,0.43745599687099457,0.46672159880399705,27.9013671875,0.30599626898765564,0.9532715082168579,2.977559611717273e-39,1.0,ok
